ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС;
1.2.4.2.5.5;DRF000000000421549;Дрофа;9;УМК Сонина. Биология (лин., синяя) (5-9);Сапин М. Р., Сонин Н. И.;Биология. Человек. 9 класс;75;0,18;Биология. Человек. 9 класс (Лицензия 1 год)
1.2.4.2.9.1;DRF000000000421490;Дрофа;5;УМК Сонина. Биология (концентр., красная) (5-9);Сонин Н. И., Плешаков А. А.;Биология. Введение в биологию. 5 класс;75;0,18;Биология. Введение в биологию. 5 класс (Лицензия 1 год)
1.2.4.2.9.2;DRF000000000421541;Дрофа;6;УМК Сонина. Биология (концентр., красная) (5-9);Сонин Н. И.;Биология. Живой организм. 6 класс;75;0,18;Биология. Живой организм. 6 класс (Лицензия 1 год)
1.2.4.2.9.3;DRF000000000421542;Дрофа;7;УМК Сонина. Биология (концентр., красная) (5-9);Захаров В. Б., Сонин Н. И.;Биология. Многообразие живых организмов. 7 класс;75;0,18;Биология. Многообразие живых организмов. 7 класс (Лицензия 1 год)
1.2.4.2.9.4;DRF000000000421543;Дрофа;8;УМК Сонина. Биология (концентр., красная) (5-9);Сонин Н. И., Сапин М. Р.;Биология. Человек. 8 класс;75;0,18;Биология. Человек. 8 класс (Лицензия 1 год)
1.2.4.2.9.5;DRF000000000421544;Дрофа;9;УМК Сонина. Биология (концентр., красная) (5-9);Мамонтов С. Г., Захаров В. Б., Агафонова И. Б., Сонин Н. И.;Биология. Общие закономерности. 9 класс;75;0,18;Биология. Общие закономерности. 9 класс (Лицензия 1 год)
1.2.4.3.1.1;DRF000000000421666;Дрофа;7;УМК Габриеляна. Вводный курс (7);Габриелян О. С., Остроумов И. Г., Ахлебинин А. К.;Химия. Вводный курс. 7 класс;75;0,18;Химия. Вводный курс. 7 класс (Лицензия 1 год)
1.2.4.3.1.2;DRF000000000421585;Дрофа;8;УМК Габриеляна. Химия (8-9);Габриелян О. С.;Химия. 8 класс;75;0,18;Химия. 8 класс (Лицензия 1 год)
1.2.4.3.1.3;DRF000000000421586;Дрофа;9;УМК Габриеляна. Химия (8-9);Габриелян О. С.;Химия. 9 класс;75;0,18;Химия. 9 класс (Лицензия 1 год)
99.99.99.99.99.99;DRF0000000004215001;Дрофа;8;УМК Лунина. Химия (8-9);Еремин В. В., Кузьменко Н. Е., Дроздов А. А., Лунин В. В.;Химия. 8 класс;75;0,18;Химия. 8 класс (Лицензия 1 год)
99.99.99.99.99.99;DRF0000000004215002;Дрофа;9;УМК Лунина. Химия (8-9);Еремин В. В., Кузьменко Н. Е., Дроздов А. А., Лунин В. В.;Химия. 9 класс;75;0,18;Химия. 9 класс (Лицензия 1 год)
1.2.5.1.3.1;DRF000000000421539;Дрофа;5;УМК Ломова. ИЗО (5-7);Ломов С. П., Игнатьев С. Е., Кармазина М. В.;Искусство. Изобразительное искусство. 5 класс. Часть 1;75;0,18;Искусство. Изобразительное искусство. 5 класс. Часть 1 (Лицензия 1 год)
