IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP227;IP_PROP228;IP_PROP230;IP_PROP229;IP_PROP226;IP_PROP231;IC_GROUP0;IC_GROUP1;IC_GROUP2
232841;232840;232841;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232843;232842;232843;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232845;232844;232845;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232847;232846;232847;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232849;232848;232849;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232851;232850;232851;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232853;232852;232853;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232855;232854;232855;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232857;232856;232857;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232859;232858;232859;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232861;232860;232861;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232863;232862;232863;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232865;232864;232865;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232867;232866;232867;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232869;232868;232869;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232871;232870;232871;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232873;232872;232873;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232875;232874;232875;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232877;232876;232877;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232879;232878;232879;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232881;232880;232881;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232883;232882;232883;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232885;232884;232885;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232887;232886;232887;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
232889;232888;232889;Y;;;;;text;;;text;;500;;258;122;231587;02.09.2017;;105;;;
233026;233025;233026;Y;;;;;text;;;text;;500;;184;115;231587;02.09.2017;233025;85,00;;;
