Id;Nameauthor;fp_code;fp_code1;name;author;class;nds;Price
rus_efu_113;Огерчук Л.Ю. Технология 2кл.;1.1.6.1.7.2;1.1.6.1.7.2;Технология 2кл.;Огерчук Л.Ю.;2;0,18;105
rus_efu_114;Огерчук Л.Ю. Технология 3кл.;1.1.6.1.7.3;1.1.6.1.7.3;Технология 3кл.;Огерчук Л.Ю.;3;0,18;105
rus_efu_115;Огерчук Л.Ю. Технология 4кл.1ч.;1.1.6.1.7.4;1.1.6.1.7.4;Технология 4кл.1ч.;Огерчук Л.Ю.;4;0,18;105
rus_efu_116;Огерчук Л.Ю. Технология 4кл.2ч.;1.1.6.1.7.4;1.1.6.1.7.4;Технология 4кл.2ч.;Огерчук Л.Ю.;4;0,18;105
rus_efu_117;Изергин Э. Т. Физика 7 кл.;99.99.99.99.99.99;99.99.99.99.99.99;Физика 7 кл.;Изергин Э. Т.;7;0,18;105
rus_efu_118;Изергин Э. Т. Физика 8 кл.;99.99.99.99.99.99;99.99.99.99.99.99;Физика 8 кл.;Изергин Э. Т.;8;0,18;105
rus_efu_119;Изергин Э. Т. Физика 9 кл.;99.99.99.99.99.99;99.99.99.99.99.99;Физика 9 кл.;Изергин Э. Т.;9;0,18;105
rus_efu_120;Барышников В.Я., Белоусов А.И. / Под ред. Виленского М.Я. Физическая культура 1-2 классы;1.1.7.1.1.1;1.1.7.1.1.1;Физическая культура 1-2 классы;Барышников В.Я., Белоусов А.И. / Под ред. Виленского М.Я.;1-2 кл;0,18;105
rus_efu_121;Барышников В.Я., Белоусов А.И. / Под ред. Виленского М.Я. Физическая культура 3-4 классы;1.1.7.1.1.2;1.1.7.1.1.2;Физическая культура 3-4 классы;Барышников В.Я., Белоусов А.И. / Под ред. Виленского М.Я.;3-4 кл;0,18;105
rus_efu_122;Гурьев С.В./под ред.Виленского М.Я. Физическая культура 5-7 классы;1.2.7.1.1.1;1.2.7.1.1.1;Физическая культура 5-7 классы;Гурьев С.В./под ред.Виленского М.Я.;5-7 кл;0,18;105
rus_efu_123;Гурьев С.В./Под ред.Виленского М.Я. Физическая культура 8-9 классы;1.2.7.1.1.2;1.2.7.1.1.2;Физическая культура 8-9 классы;Гурьев С.В./Под ред.Виленского М.Я.;8-9 кл;0,18;105
rus_efu_124;Андрюхина Т.В.,Третьякова Н.В. /Под ред.Виленского М.Я. Физическая культура 10-11 классы;1.3.6.1.1.1;1.3.6.1.1.1;Физическая культура 10-11 классы;Андрюхина Т.В.,Третьякова Н.В. /Под ред.Виленского М.Я.;10-11 кл;0,18;105
rus_efu_125;Новошинский И.И.,Новошинская Н.С. Химия 8кл.;99.99.99.99.99.99;99.99.99.99.99.99;Химия 8кл.;Новошинский И.И.,Новошинская Н.С.;8;0,18;105
rus_efu_126;Новошинский И.И.,Новошинская Н.С. Химия 9кл.;99.99.99.99.99.99;99.99.99.99.99.99;Химия 9кл.;Новошинский И.И.,Новошинская Н.С.;9;0,18;105
rus_efu_127;Новошинский И.И.,Новошинская Н.С. Химия 10 кл.Углубленый уровень;1.3.5.4.4.1;1.3.5.4.4.1;Химия 10 кл.Углубленый уровень;Новошинский И.И.,Новошинская Н.С.;10;0,18;105
rus_efu_128;Новошинский И.И.,Новошинская Н.С. Химия 10 кл. Базовый уровень;99.99.99.99.99.99;99.99.99.99.99.99;Химия 10 кл. Базовый уровень;Новошинский И.И.,Новошинская Н.С.;10;0,18;105
rus_efu_129;Новошинский И.И.,Новошинская Н.С. Химия 11кл.Углубленный уровень;1.3.5.4.4.2;1.3.5.4.4.2;Химия 11кл.Углубленный уровень;Новошинский И.И.,Новошинская Н.С.;11;0,18;105
rus_efu_130;Новошинский И.И.,Новошинская Н.С. Химия 11кл.Базовый уровень;1.3.5.4.4.2;1.3.5.4.4.2;Химия 11кл.Базовый уровень;Новошинский И.И.,Новошинская Н.С.;11;0,18;105
rus_efu_131;Мамедов Н.М.,Суравегина И.Т. Экология 10 кл.Базовый уровень;1.3.6.2.1.1;1.3.6.2.1.1;Экология 10 кл.Базовый уровень;Мамедов Н.М.,Суравегина И.Т.;10;0,18;105
rus_efu_132;Мамедов Н.М.,Суравегина И.Т. Экология 11 кл.Базовый уровень;1.3.6.2.1.2;1.3.6.2.1.2;Экология 11 кл.Базовый уровень;Мамедов Н.М.,Суравегина И.Т.;11;0,18;105
