12-0701-01_l5;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 5 класс. В 2-х ч. Ч. 2. Электронная форма учебника.  (Лицензия 5 лет);5;Коровина В.Я. (5-9);;99.99.99.99.99.99;181
12-0702-01_l5;Полухина В. П., Коровина В. Я., Журавлев В. П. и др.;Литература. 6 класс. В 2-х ч. Ч. 2. Электронная форма учебника. (Лицензия 5 лет);6;Коровина В.Я. (5-9);;99.99.99.99.99.99;181
12-0703-01_l5;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 7 класс. В 2-х ч. Ч. 2. Электронная форма учебника.  (Лицензия 5 лет);7;Коровина В.Я. (5-9);;99.99.99.99.99.99;181
12-0704-01_l5;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 8 класс. В 2-х ч. Ч. 2. Электронная форма учебника.  (Лицензия 5 лет);8;Коровина В.Я. (5-9);;99.99.99.99.99.99;181
12-0705-01_l5;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 9 класс. В 2-х ч. Ч. 2. Электронная форма учебника.  (Лицензия 5 лет);9;Коровина В.Я. (5-9);;99.99.99.99.99.99;181
12-0706-01_l5;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 5 класс. В 2-х ч. Ч. 1. Электронная форма учебника. (Лицензия 5 лет);5;Коровина В.Я. (5-9);;99.99.99.99.99.99;181
12-0707-01_l5;Полухина В. П., Коровина В. Я., Журавлев В. П. и др.;Литература. 6 класс. В 2-х ч. Ч. 1. Электронная форма учебника. (Лицензия 5 лет);6;Коровина В.Я. (5-9);;99.99.99.99.99.99;181
12-0708-01_l5;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 7 класс. В 2-х ч. Ч. 1. Электронная форма учебника.  (Лицензия 5 лет);7;Коровина В.Я. (5-9);;99.99.99.99.99.99;181
12-0709-01_l5;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 8 класс. В 2-х ч. Ч. 1. Электронная форма учебника.  (Лицензия 5 лет);8;Коровина В.Я. (5-9);;99.99.99.99.99.99;181
12-0710-01_l5;Коровина В. Я., Журавлев В. П., Коровин В. И.;Литература. 9 класс. В 2-х ч. Ч. 1. Электронная форма учебника.  (Лицензия 5 лет);9;Коровина В.Я. (5-9);;99.99.99.99.99.99;181
